c0_left	 c0_right	 c_front	 c_back	 c_mean	 dcdx_mean	 p0	 dNu	 pfavg	 pbavg
4.75468e-007	0	2.20409e-007	2.13642e-007	2.17026e-007	0.000676704	2.51189e-010	0.000222339	0.00721357	0.00714899
4.75468e-007	0	2.15499e-007	2.08786e-007	2.12143e-007	0.00067131	3.16228e-010	0.000220639	0.00705284	0.00698876
4.75468e-007	0	2.0957e-007	2.02924e-007	2.06247e-007	0.000664605	3.98107e-010	0.00021852	0.00685872	0.00679525
4.75468e-007	0	2.02481e-007	1.95918e-007	1.99199e-007	0.000656296	5.01187e-010	0.000215889	0.00662653	0.00656383
4.75468e-007	0	1.94101e-007	1.87641e-007	1.90871e-007	0.000646039	6.30957e-010	0.000212632	0.00635199	0.00629024
4.75468e-007	0	1.84332e-007	1.77997e-007	1.81165e-007	0.00063344	7.94328e-010	0.00020862	0.00603182	0.00597123
4.75468e-007	0	1.73126e-007	1.66945e-007	1.70036e-007	0.000618059	1e-009	0.000203704	0.00566442	0.00560526
4.75468e-007	0	1.60511e-007	1.54517e-007	1.57514e-007	0.000599421	1.25893e-009	0.000197725	0.00525067	0.00519325
4.75468e-007	0	1.46607e-007	1.40837e-007	1.43722e-007	0.000577038	1.58489e-009	0.000190516	0.00479445	0.00473911
4.75468e-007	0	1.31647e-007	1.26143e-007	1.28895e-007	0.000550461	1.99526e-009	0.00018192	0.00430341	0.00425058
4.75468e-007	0	1.15972e-007	1.10779e-007	1.13375e-007	0.000519333	2.51189e-009	0.00017181	0.00378877	0.00373888
4.75468e-007	0	1.00006e-007	9.51719e-008	9.75892e-008	0.000483454	3.16228e-009	0.000160108	0.00326456	0.00321806
4.75468e-007	0	8.42341e-008	7.98052e-008	8.20196e-008	0.000442893	3.98107e-009	0.000146827	0.00274676	0.00270412
4.75468e-007	0	6.91444e-008	6.51637e-008	6.7154e-008	0.000398071	5.01187e-009	0.000132098	0.0022516	0.00221323
4.75468e-007	0	5.5183e-008	5.16846e-008	5.34338e-008	0.000349835	6.30957e-009	0.000116197	0.00179384	0.0017601
4.75468e-007	0	4.27082e-008	3.97134e-008	4.12108e-008	0.000299481	7.94328e-009	9.95532e-005	0.00138535	0.00135644
4.75468e-007	0	3.19605e-008	2.94734e-008	3.0717e-008	0.000248708	1e-008	8.27331e-005	0.00103405	0.00101003
4.75468e-007	0	2.30504e-008	2.10557e-008	2.2053e-008	0.000199478	1.25893e-008	6.63949e-005	0.000743499	0.000724218
4.75468e-007	0	1.59587e-008	1.44211e-008	1.51899e-008	0.000153767	1.58489e-008	5.12037e-005	0.000512924	0.000498055
4.75468e-007	0	1.05608e-008	9.42739e-009	9.99408e-009	0.000113336	1.99526e-008	3.77536e-005	0.00033804	0.000327078
4.75468e-007	0	6.64703e-009	5.85266e-009	6.24985e-009	7.94366e-005	2.51189e-008	2.64678e-005	0.000211773	0.000204088
4.75468e-007	0	3.95706e-009	3.43077e-009	3.69392e-009	5.26289e-005	3.16228e-008	1.75386e-005	0.000125407	0.000120315
4.75468e-007	0	2.21507e-009	1.88751e-009	2.05129e-009	3.27569e-005	3.98107e-008	1.09175e-005	6.97837e-005	6.66142e-005
4.75468e-007	0	1.15897e-009	9.68627e-010	1.0638e-009	1.90347e-005	5.01187e-008	6.34446e-006	3.62701e-005	3.44283e-005
4.75468e-007	0	5.63677e-010	4.61005e-010	5.12341e-010	1.02672e-005	6.30957e-008	3.42228e-006	1.75098e-005	1.65164e-005
4.75468e-007	0	2.53823e-010	2.02635e-010	2.28229e-010	5.11874e-006	7.94328e-008	1.70622e-006	7.8199e-006	7.32469e-006
4.75468e-007	0	1.05761e-010	8.21965e-011	9.39789e-011	2.35648e-006	1e-007	7.85489e-007	3.22879e-006	3.00084e-006
4.75468e-007	0	4.10128e-011	3.09431e-011	3.59779e-011	1.00697e-006	1.25893e-007	3.35657e-007	1.23961e-006	1.14222e-006
4.75468e-007	0	1.50213e-011	1.09708e-011	1.29961e-011	4.05049e-007	1.58489e-007	1.35016e-007	4.49109e-007	4.09937e-007
4.75468e-007	0	5.32796e-012	3.7571e-012	4.54253e-012	1.57086e-007	1.99526e-007	5.23618e-008	1.57454e-007	1.42264e-007
4.75468e-007	0	1.88337e-012	1.27973e-012	1.58155e-012	6.03642e-008	2.51189e-007	2.01214e-008	5.49873e-008	4.91506e-008
4.75468e-007	0	6.7887e-013	4.44025e-013	5.61448e-013	2.34846e-008	3.16228e-007	7.82819e-009	1.95793e-008	1.73086e-008
4.75468e-007	0	2.54055e-013	1.59921e-013	2.06988e-013	9.41348e-009	3.98107e-007	3.13783e-009	7.23986e-009	6.32962e-009
4.75468e-007	0	1.01122e-013	6.11963e-014	8.11592e-014	3.99259e-009	5.01187e-007	1.33086e-009	2.84729e-009	2.46119e-009
4.75468e-007	0	4.42594e-014	2.5619e-014	3.49392e-014	1.86405e-009	6.30957e-007	6.21348e-010	1.22954e-009	1.0493e-009
4.75468e-007	0	2.19121e-014	1.20051e-014	1.69586e-014	9.907e-010	7.94328e-007	3.30233e-010	5.98551e-010	5.02823e-010
4.75468e-007	0	1.2347e-014	6.3233e-015	9.33516e-015	6.02371e-010	1e-006	2.0079e-010	3.303e-010	2.72171e-010
4.75468e-007	0	7.76231e-015	3.67824e-015	5.72027e-015	4.08407e-010	1.25893e-006	1.36136e-010	2.02753e-010	1.6341e-010
4.75468e-007	0	5.27844e-015	2.29743e-015	3.78793e-015	2.98101e-010	1.58489e-006	9.93669e-011	1.34402e-010	1.05738e-010
4.75468e-007	0	3.7922e-015	1.50703e-015	2.64962e-015	2.28517e-010	1.99526e-006	7.61722e-011	9.40437e-011	7.21133e-011
4.75468e-007	0	2.84621e-015	1.02695e-015	1.93658e-015	1.81926e-010	2.51189e-006	6.06419e-011	6.87037e-011	5.12807e-011
4.75468e-007	0	2.22492e-015	7.23877e-016	1.4744e-015	1.50104e-010	3.16228e-006	5.00347e-011	5.22231e-011	3.78812e-011
